date,open,high,low,close,adj_close,volume,dividend,split
2000/1/10,2035.26,2064.36,1994.09,2028.37,804.6,188548033,0.0,30.0
2000/1/11,2023.04,2067.49,1987.33,2017.44,799.07,202606500,0.0,30.0
2000/1/12,2020.47,2051.54,1980.08,2000.37,793.73,199839934,0.0,30.0
2000/1/13,2021.07,2051.68,1985.35,2021.01,798.93,186648967,0.0,30.0
2000/1/14,2046.16,2086.5,2020.06,2053.63,808.63,239152034,0.0,30.0
2000/1/18,2041.84,2088.63,2006.78,2044.48,805.35,214360567,0.32,30.0
2000/1/19,2040.27,2084.5,2008.83,2045.78,808.03,206934000,0.32,30.0
2000/1/20,2065.51,2092.7599999999998,2008.22,2035.81,800.18,206456333,0.12,30.0
2000/1/21,2052.34,2065.14,1993.51,2021.42,796.85,194605700,0.0,30.0
2000/1/24,2026.66,2060.09,1938.79,1962.99,772.73,201919867,0.0,30.0
2000/1/25,1972.34,2019.09,1930.47,1987.45,780.74,215675367,0.0,30.0
2000/1/26,1986.19,2028.8,1945.46,1979.06,777.4,193129200,0.0,30.0
2000/1/27,1987.28,2019.44,1928.83,1967.1299999999999,771.44,204984134,0.0,30.0
2000/1/28,1950.73,1979.8,1897.81,1917.46,753.88,189676000,0.0,30.0
2000/1/3,2019.18,2043.86,1957.65,1992.6399999999999,782.72,200382067,0.0,30.0
2000/1/31,1912.31,1979.95,1882.5,1962.19,772.47,204931834,0.0,30.0
2000/1/4,1961.41,1991.62,1898.92,1918.73,753.78,193543167,0.41,30.0
2000/1/5,1921.69,1984.4,1898.8799999999999,1948.33,765.26,225301734,0.22,30.0
2000/1/6,1939.84,1994.0,1902.6299999999999,1945.1,766.2,181889300,0.38,30.0
2000/1/7,1966.96,2037.3899999999999,1940.68,2019.42,795.29,203374534,0.0,30.0
2000/10/10,1605.04,1632.41,1573.4,1596.24,756.73,258596200,0.0,30.0
2000/10/11,1583.26,1628.72,1554.29,1593.27,756.53,395968900,0.0,30.0
2000/10/12,1584.33,1601.33,1508.39,1532.99,719.66,441275300,0.0,30.0
2000/10/13,1526.58,1584.96,1513.98,1567.41,743.1899999999999,369569700,0.0,30.0
2000/10/16,1566.92,1604.25,1538.27,1575.6299999999999,746.42,323665600,0.0,30.0
2000/10/17,1580.06,1601.34,1530.8,1560.03,737.64,289858300,0.0,30.0
2000/10/18,1519.97,1570.31,1485.47,1541.95,728.72,312138400,0.69,30.0
2000/10/19,1559.12,1590.85,1527.81,1563.57,742.85,416605500,0.12,30.0
2000/10/2,1632.98,1668.89,1597.46,1636.67,783.9,308408800,0.0,30.0
2000/10/20,1560.38,1608.7,1542.22,1584.74,755.64,333127400,0.0,30.0
2000/10/23,1597.37,1624.3899999999999,1560.76,1588.98,758.73,331150100,0.0,30.0
2000/10/24,1600.3,1632.1399999999999,1570.19,1602.38,764.4,277481100,0.0,30.0
2000/10/25,1591.16,1623.18,1563.66,1583.22,749.96,338766600,0.0,30.0
2000/10/26,1583.8,1624.77,1554.96,1598.48,754.62,322574800,0.0,30.0
2000/10/27,1595.3600000000001,1629.48,1569.41,1606.52,754.29,324969800,0.0,30.0
2000/10/3,1644.49,1672.54,1610.73,1629.21,779.81,324203800,0.0,30.0
2000/10/30,1606.49,1657.53,1580.8500000000001,1634.42,763.5,264120000,0.0,30.0
2000/10/31,1634.47,1680.31,1604.76,1657.59,783.76,352953700,0.0,30.0
2000/10/4,1629.01,1665.17,1601.23,1630.17,781.4,311832200,0.4,30.0
2000/10/5,1631.0,1673.94,1612.06,1646.55,788.88,252203300,0.38,30.0
2000/10/6,1643.6299999999999,1661.3799999999999,1590.12,1616.81,772.37,269214300,0.0,30.0
2000/10/9,1613.58,1631.2,1584.16,1602.26,764.2,201119100,0.0,30.0
2000/11/1,1649.09,1676.83,1617.46,1644.96,778.41,304799700,0.0,30.0
2000/11/10,1632.77,1661.89,1602.46,1620.39,754.86,319223800,0.0,30.0
2000/11/13,1601.35,1643.81,1573.8,1610.54,750.93,326947800,0.22,30.0
2000/11/14,1626.89,1663.14,1607.07,1642.72,768.13,256978600,0.0,30.0
2000/11/15,1641.35,1673.44,1620.31,1651.96,773.46,221447100,0.65,30.0
2000/11/16,1649.02,1673.54,1623.35,1641.4,768.01,193989900,0.19,30.0
2000/11/17,1641.05,1666.69,1611.39,1639.71,766.06,245504800,0.12,30.0
2000/11/2,1651.21,1680.36,1624.2,1656.1,786.17,290776900,0.0,30.0
2000/11/20,1628.16,1653.92,1594.89,1617.74,754.01,224017600,0.0,30.0
2000/11/21,1618.53,1651.21,1593.65,1627.42,759.41,216351200,0.58,30.0
2000/11/22,1618.26,1645.46,1588.7,1610.89,748.11,217274300,0.0,30.0
2000/11/24,1616.84,1640.59,1600.84,1621.96,754.5699999999999,100361000,0.0,30.0
2000/11/27,1639.6599999999999,1671.42,1612.98,1642.05,763.68,230068500,0.0,30.0
2000/11/28,1645.26,1678.12,1620.26,1643.28,762.62,268212300,0.04,30.0
2000/11/29,1641.25,1680.54,1620.09,1661.36,774.07,278072800,0.17,30.0
2000/11/3,1656.1,1674.18,1626.24,1648.86,782.19,224732800,0.02,30.0
2000/11/30,1645.8,1668.03,1593.4,1623.0,753.27,333822600,0.0,30.0
2000/11/6,1646.96,1682.72,1629.69,1661.32,784.42,228139400,0.0,30.0
2000/11/7,1660.31,1682.96,1634.44,1659.6,784.35,247169000,0.0,30.0
2000/11/8,1666.25,1694.27,1631.09,1649.66,774.83,298565200,0.27,30.0
2000/11/9,1636.9,1671.73,1608.02,1650.21,771.44,302737300,0.04,30.0
2000/12/1,1629.29,1658.21,1595.33,1614.28,748.84,235347100,0.0,30.0
2000/12/11,1662.46,1700.01,1637.28,1669.97,783.8,313198800,0.0,30.0
